Name,ID,[Birth Place] Location Reference,Birth Place,[Birth Place] Geometry,Birth Geometry,[Death Place] Location Reference,Death Place,[Death Place] Geometry,Death Geometry
Franciscus Sonnius,119937,Son (NL),Son,"{""type"": ""Point"", ""coordinates"": [5.49281979, 51.51136017]}","5.49281979, 51.51136017",,,,
Guillaume Moncarré,119933,,,,,,,,
Nicolas Gazet,119932,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",,,,
Angelin Gazet,119931,Saint-Pol-sur-Ternoise (FR),Saint-Pol-sur-Ternoise,"{""type"": ""Point"", ""coordinates"": [2.33406997, 50.38113022000001]}","2.33406997, 50.38113022000001",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Alard Gazet,119930,,,,,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Prosper Aquitanus,119890,,,,,,,,
Maximilien de Wignacourt,119863,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
Niccolò Bonfigli,119858,Siena (IT),Siena,"{""type"": ""Point"", ""coordinates"": [11.33283043, 43.32004166]}","11.33283043, 43.32004166",,,,
Jean Rubus,119853,Ath (BE),Ath,"{""type"": ""Point"", ""coordinates"": [3.7780098900000003, 50.62937164]}","3.7780098900000003, 50.62937164",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Francis II Fowler,119852,Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006",,,,
Richard White,119847,Basingstoke (GB),Basingstoke,"{""type"": ""Point"", ""coordinates"": [-1.08708, 51.26248932]}","-1.08708, 51.26248932",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
N.L. M.,119845,,,,,,,,
Jean Garet,119844,Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995",Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924"
Walrand Caoult,119843,,,,,,,,
Johannes Brugman,119842,,,,,Nijmegen (NL),Nijmegen,"{""type"": ""Point"", ""coordinates"": [5.85277987, 51.84249878]}","5.85277987, 51.84249878"
Philibert Du Sault,119837,,,,,,,,
Johann Holthusius,119834,Kempen (DE),Kempen,"{""type"": ""Point"", ""coordinates"": [6.41858006, 51.36431885]}","6.41858006, 51.36431885",,,,
Antonio de Guevara,119832,Santander (ES),Santander,"{""type"": ""Point"", ""coordinates"": [-3.80444002, 43.46472168]}","-3.80444002, 43.46472168",Mondoñedo (ES),Mondoñedo,"{""type"": ""Point"", ""coordinates"": [-7.4000001, 43.40000153]}","-7.4000001, 43.40000153"
Ettore Vernazza,119831,Genova (IT),Genova,"{""type"": ""Point"", ""coordinates"": [8.93385983, 44.40631866]}","8.93385983, 44.40631866",Genova (IT),Genova,"{""type"": ""Point"", ""coordinates"": [8.93385983, 44.40631866]}","8.93385983, 44.40631866"
Antonio Marabotto,119830,,,,,,,,
N.D. S.,119828,,,,,,,,
Juan Polanco,119827,Burgos (ES),Burgos,"{""type"": ""Point"", ""coordinates"": [-3.70000005, 42.34999847]}","-3.70000005, 42.34999847",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
François Solier,119826,Brive-la-Gaillarde (FR),Brive-la-Gaillarde,"{""type"": ""Point"", ""coordinates"": [1.53332996, 45.15000153]}","1.53332996, 45.15000153",Saint-Macaire (FR),Saint-Macaire,"{""type"": ""Point"", ""coordinates"": [-0.22431, 44.56526947]}","-0.22431, 44.56526947"
Adrien de Vallières,119825,,,,,,,,
Felipe de La Torre,119824,,,,,,,,
Nicolaus Zoes,119823,Amersfoort (NL),Amersfoort,"{""type"": ""Point"", ""coordinates"": [5.38749981, 52.15499878]}","5.38749981, 52.15499878",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
Andries Van Hoye,119822,Brugge (BE),Brugge,"{""type"": ""Point"", ""coordinates"": [3.2242400599999996, 51.20891953]}","3.2242400599999996, 51.20891953",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Frédéric Jamot,119821,Béthune (FR),Béthune,"{""type"": ""Point"", ""coordinates"": [2.63333011, 50.533329009999996]}","2.63333011, 50.533329009999996",,,,
Nicolas Chesneau,119820,Vouziers (FR),Vouziers,"{""type"": ""Point"", ""coordinates"": [4.69999981, 49.40000153]}","4.69999981, 49.40000153",Reims (FR),Reims,"{""type"": ""Point"", ""coordinates"": [4.03332996, 49.25]}","4.03332996, 49.25"
Antonius Van Hemert,119819,Nederhemert (NL),Nederhemert,"{""type"": ""Point"", ""coordinates"": [5.16816998, 51.765178680000005]}","5.16816998, 51.765178680000005",Nuenen (NL),Nuenen,"{""type"": ""Point"", ""coordinates"": [5.55278015, 51.47000121999999]}","5.55278015, 51.47000121999999"
Jean d'Assignies,119818,Lens (BE),Lens,"{""type"": ""Point"", ""coordinates"": [3.89946008, 50.55696106]}","3.89946008, 50.55696106",,,,
Alonso de Madrigal,119817,Madrigal de las Altas Torres (ES),Madrigal de las Altas Torres,"{""type"": ""Point"", ""coordinates"": [-4.99863005, 41.08967972]}","-4.99863005, 41.08967972",Bonilla de la Sierra (ES),Bonilla de la Sierra,"{""type"": ""Point"", ""coordinates"": [-5.26452017, 40.5306282]}","-5.26452017, 40.5306282"
Maurice of Orange,119816,,,,,,,,
Pierre Moustarde,119815,,,,,,,,
Gabriel Chappuys,119814,Amboise (FR),Amboise,"{""type"": ""Point"", ""coordinates"": [0.98266, 47.41249084]}","0.98266, 47.41249084",,,,
Juan de Ávila,119813,Almodóvar del Campo (ES),Almodóvar del Campo,"{""type"": ""Point"", ""coordinates"": [-4.17908001, 38.70935822]}","-4.17908001, 38.70935822",Montilla (ES),Montilla,"{""type"": ""Point"", ""coordinates"": [-4.63805008, 37.58626938]}","-4.63805008, 37.58626938"
René Benoist,119811,Savennières (FR),Savennières,"{""type"": ""Point"", ""coordinates"": [-0.65707999, 47.38225174]}","-0.65707999, 47.38225174",,,,
Pierre Colpin,119810,,,,,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Francisco Benci,119809,,,,,,,,
Francisco Arias,119808,Sevilla (ES),Sevilla,"{""type"": ""Point"", ""coordinates"": [-5.97613001, 37.38240814]}","-5.97613001, 37.38240814",Sevilla (ES),Sevilla,"{""type"": ""Point"", ""coordinates"": [-5.97613001, 37.38240814]}","-5.97613001, 37.38240814"
Jean Cousin,119807,,,,,,,,
Dorotheus of Gaza,119805,,,,,,,,
Vincenzo Bruno,119804,Rimini (IT),Rimini,"{""type"": ""Point"", ""coordinates"": [12.580829620000001, 44.0633316]}","12.580829620000001, 44.0633316",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Germanicus Malespina,119800,Parma (IT),Parma,"{""type"": ""Point"", ""coordinates"": [10.32898045, 44.8026619]}","10.32898045, 44.8026619",San Severo (IT),San Severo,"{""type"": ""Point"", ""coordinates"": [15.37604046, 41.68973923]}","15.37604046, 41.68973923"
Anselm of Canterbury,119798,Aosta (IT),Aosta,"{""type"": ""Point"", ""coordinates"": [7.31659985, 45.73735809]}","7.31659985, 45.73735809",Canterbury (GB),Canterbury,"{""type"": ""Point"", ""coordinates"": [1.07992005, 51.27904129]}","1.07992005, 51.27904129"
Jean Guitot,119797,,,,,,,,
Nicolas de Montmorency,119795,,,,,Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924"
Nonnus of Panopolis,119793,,,,,,,,
Pedro de Ribadeneyra,119792,Toledo (ES),Toledo,"{""type"": ""Point"", ""coordinates"": [-4.02263021, 39.85810089]}","-4.02263021, 39.85810089",Madrid (ES),Madrid,"{""type"": ""Point"", ""coordinates"": [-3.7025599500000004, 40.41650009]}","-3.7025599500000004, 40.41650009"
Jean Boucquet,119787,,,,,,,,
Johann Wild,119786,,,,,Mainz (DE),Mainz,"{""type"": ""Point"", ""coordinates"": [8.27910042, 49.98419188999999]}","8.27910042, 49.98419188999999"
Georges Colveneere,119785,Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Thomas of Cantimpré,119784,,,,,,,,
Clément Marchant,119780,,,,,,,,
Athanasius of Alexandria,119779,,,,,,,,
André Herby,119774,,,,,,,,
Philippe De Meyer,119773,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
François de Monceaux,119771,,,,,,,,
François Moschus,119768,Nivelles (BE),Nivelles,"{""type"": ""Point"", ""coordinates"": [4.32847977, 50.598331449999996]}","4.32847977, 50.598331449999996",,,,
Maximilien de Berghes,119766,,,,,Bergen op Zoom (NL),Bergen op Zoom,"{""type"": ""Point"", ""coordinates"": [4.29166985, 51.49499893000001]}","4.29166985, 51.49499893000001"
Pedro Juan Perpiñà,119762,Elche (ES),Elche,"{""type"": ""Point"", ""coordinates"": [-0.70107001, 38.26218033]}","-0.70107001, 38.26218033",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Claude de Viexmont,119761,,,,,,,,
Johannes Fabri,119760,,,,,,,,
Robertus Obrizius,119759,,,,,,,,
Jean Capet,119756,,,,,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Pope Sixtus V,119755,Grottammare (IT),Grottammare,"{""type"": ""Point"", ""coordinates"": [13.864890099999998, 42.98875046]}","13.864890099999998, 42.98875046",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Giovanni Pietro Maffei,119754,Bergamo (IT),Bergamo,"{""type"": ""Point"", ""coordinates"": [9.66895008, 45.69797897]}","9.66895008, 45.69797897",Tivoli (IT),Tivoli,"{""type"": ""Point"", ""coordinates"": [12.798879620000001, 41.96091843]}","12.798879620000001, 41.96091843"
Jan Van Langhecruys,119753,Hilvarenbeek (NL),Hilvarenbeek,"{""type"": ""Point"", ""coordinates"": [5.13749981, 51.485828399999995]}","5.13749981, 51.485828399999995",Cassel (FR),Cassel,"{""type"": ""Point"", ""coordinates"": [2.48527002, 50.80109024]}","2.48527002, 50.80109024"
Peter Peck,119752,Zierikzee (NL),Zierikzee,"{""type"": ""Point"", ""coordinates"": [3.9166669800000005, 51.65000152999999]}","3.9166669800000005, 51.65000152999999",Mechelen (BE),Mechelen,"{""type"": ""Point"", ""coordinates"": [4.47762012, 51.02574158]}","4.47762012, 51.02574158"
Antoon De Meyer,119749,Oostvleteren (BE),Oostvleteren,"{""type"": ""Point"", ""coordinates"": [2.74119, 50.93319]}","2.74119, 50.93319",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Jean Sylvius,119746,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Philippus Balvaletius,119745,,,,,,,,
James Tyrie,119744,Perth (GB),Perth,"{""type"": ""Point"", ""coordinates"": [-3.43139005, 56.39522171]}","-3.43139005, 56.39522171",Vatican City (VA),Vatican City,"{""type"": ""Point"", ""coordinates"": [12.453319549999998, 41.90235901]}","12.453319549999998, 41.90235901"
Auguste Bontemps,119743,Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071",,,,
Émond Auger,119742,Sézanne (FR),Sézanne,"{""type"": ""Point"", ""coordinates"": [3.7233901, 48.720470430000006]}","3.7233901, 48.720470430000006",Como (IT),Como,"{""type"": ""Point"", ""coordinates"": [9.08743954, 45.80997849]}","9.08743954, 45.80997849"
Georges Bartholomieu,119741,,,,,,,,
Jean Boucher,119740,Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Pierre Frizon,119739,Reims (FR),Reims,"{""type"": ""Point"", ""coordinates"": [4.03332996, 49.25]}","4.03332996, 49.25",,,,
Pietro da Lucca,119738,,,,,,,,
Gaspare Spitilli,119737,Campli (IT),Campli,"{""type"": ""Point"", ""coordinates"": [13.692290310000002, 42.72853851]}","13.692290310000002, 42.72853851",,,,
Juan de Atienza,119736,Valladolid (ES),Valladolid,"{""type"": ""Point"", ""coordinates"": [-4.72372007, 41.65518188]}","-4.72372007, 41.65518188",Lima (PE),Lima,"{""type"": ""Point"", ""coordinates"": [-77.02823639, -12.04318047]}","-77.02823639, -12.04318047"
Pedro Martinez,119735,,,,,,,,
Gaspar Loarte,119734,Medina del Campo (ES),Medina del Campo,"{""type"": ""Point"", ""coordinates"": [-4.91413021, 41.31238937]}","-4.91413021, 41.31238937",,,,
Michel d'Esne,119732,Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Cornelius Jansenius,119730,Hulst (NL),Hulst,"{""type"": ""Point"", ""coordinates"": [4.05278015, 51.27999877999999]}","4.05278015, 51.27999877999999",Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924"
Filippo dalla Sega,119729,Bologna (IT),Bologna,"{""type"": ""Point"", ""coordinates"": [11.33874989, 44.49380875]}","11.33874989, 44.49380875",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Dirk Van Herxen,119727,,,,,Zwolle (NL),Zwolle,"{""type"": ""Point"", ""coordinates"": [6.09443998, 52.51250076000001]}","6.09443998, 52.51250076000001"
Fulgentius Ferrandus,119726,,,,,,,,
Jean de Castro,119724,Liège (BE),Liège,"{""type"": ""Point"", ""coordinates"": [5.5674901, 50.63373184]}","5.5674901, 50.63373184",Köln (DE),Köln,"{""type"": ""Point"", ""coordinates"": [6.9499998100000004, 50.93333054000001]}","6.9499998100000004, 50.93333054000001"
Henri Willot,119723,Fontaine-l'Évêque (BE),Fontaine-l'Évêque,"{""type"": ""Point"", ""coordinates"": [4.32427, 50.40906999999999]}","4.32427, 50.40906999999999",Padova (IT),Padova,"{""type"": ""Point"", ""coordinates"": [11.88181019, 45.41519165]}","11.88181019, 45.41519165"
Simon Ogier,119721,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75",Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75"
Nicole Colin,119719,Reims (FR),Reims,"{""type"": ""Point"", ""coordinates"": [4.03332996, 49.25]}","4.03332996, 49.25",,,,
Jean Chabanel,119717,Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949",Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949"
Jérôme Bourcier,119716,,,,,,,,
Yves de Magistri,119715,Laval (FR),Laval,"{""type"": ""Point"", ""coordinates"": [-0.76666999, 48.06666945999999]}","-0.76666999, 48.06666945999999",,,,
Panagius Salius,119714,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75",,,,
André des Freux,119713,Chartres (FR),Chartres,"{""type"": ""Point"", ""coordinates"": [1.4892499400000003, 48.44684982]}","1.4892499400000003, 48.44684982",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
John Lion,119710,,,,,,,,
William Fowler,119709,,,,,,,,
Petrus Canisius,119707,Nijmegen (NL),Nijmegen,"{""type"": ""Point"", ""coordinates"": [5.85277987, 51.84249878]}","5.85277987, 51.84249878",Fribourg (CH),Fribourg,"{""type"": ""Point"", ""coordinates"": [7.151279929999999, 46.80236816]}","7.151279929999999, 46.80236816"
Sulpice du Pré,119706,,,,,,,,
Hugh of Saint Victor,119705,,,,,,,,
Jean Gerson,119704,Rethel (FR),Rethel,"{""type"": ""Point"", ""coordinates"": [4.36667013, 49.51667023]}","4.36667013, 49.51667023",Lyon (FR),Lyon,"{""type"": ""Point"", ""coordinates"": [4.84671021, 45.74845886]}","4.84671021, 45.74845886"
Thomas a Kempis,119703,Kempen (DE),Kempen,"{""type"": ""Point"", ""coordinates"": [6.41858006, 51.36431885]}","6.41858006, 51.36431885",Zwolle (NL),Zwolle,"{""type"": ""Point"", ""coordinates"": [6.09443998, 52.51250076000001]}","6.09443998, 52.51250076000001"
Pierre Doré,119702,Orléans (FR),Orléans,"{""type"": ""Point"", ""coordinates"": [1.90389001, 47.90288925]}","1.90389001, 47.90288925",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Girolamo Savonarola,119701,Ferrara (IT),Ferrara,"{""type"": ""Point"", ""coordinates"": [11.62071037, 44.82677841]}","11.62071037, 44.82677841",Firenze (IT),Firenze,"{""type"": ""Point"", ""coordinates"": [11.24626, 43.77925]}","11.24626, 43.77925"
Jean Loys,119700,,,,,,,,
Dionysius Carthusianus,119699,Borgloon (BE),Borgloon,"{""type"": ""Point"", ""coordinates"": [5.34365988, 50.8050499]}","5.34365988, 50.8050499",,,,
Mathias Bossemius,119698,Amsterdam (NL),Amsterdam,"{""type"": ""Point"", ""coordinates"": [4.88968992, 52.37403107]}","4.88968992, 52.37403107",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Silvestro Scarini,119697,,,,,,,,
Marko Maruli?,119696,Split (HR),Split,"{""type"": ""Point"", ""coordinates"": [16.43914986, 43.50891113]}","16.43914986, 43.50891113",Split (HR),Split,"{""type"": ""Point"", ""coordinates"": [16.43914986, 43.50891113]}","16.43914986, 43.50891113"
Jacques Froye,119690,Raismes (FR),Raismes,"{""type"": ""Point"", ""coordinates"": [3.4833300100000004, 50.3833313]}","3.4833300100000004, 50.3833313",,,,
Louis de Blois,119689,Thuin (BE),Thuin,"{""type"": ""Point"", ""coordinates"": [4.28603983, 50.33932877000001]}","4.28603983, 50.33932877000001",Avesnes-sur-Helpe (FR),Avesnes-sur-Helpe,"{""type"": ""Point"", ""coordinates"": [3.9333300600000003, 50.11666869999999]}","3.9333300600000003, 50.11666869999999"
Julien de Ligne,119688,,,,,,,,
Jean Six,119686,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Alexander Briant,119685,,,,,,,,
Richard Hall,119678,,,,,Saint-Omer (FR),Saint-Omer,"{""type"": ""Point"", ""coordinates"": [2.25, 50.75]}","2.25, 50.75"
Nicolas de Formanoir,119671,,,,,,,,
Jérome-Hermès Bolsec,119670,Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881",Lyon (FR),Lyon,"{""type"": ""Point"", ""coordinates"": [4.84671021, 45.74845886]}","4.84671021, 45.74845886"
Noël Taillepied,119669,,,,,Angers (FR),Angers,"{""type"": ""Point"", ""coordinates"": [-0.55000001, 47.466670990000004]}","-0.55000001, 47.466670990000004"
Johannes Costerius,119667,Aalst (BE),Aalst,"{""type"": ""Point"", ""coordinates"": [4.03550005, 50.93603897]}","4.03550005, 50.93603897",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Franciscus Costerus,119660,Mechelen (BE),Mechelen,"{""type"": ""Point"", ""coordinates"": [4.47762012, 51.02574158]}","4.47762012, 51.02574158",Brussel (),Brussel,,
Petrus Bacherius,119655,Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924",Gent (BE),Gent,"{""type"": ""Point"", ""coordinates"": [3.7166700400000003, 51.04999924]}","3.7166700400000003, 51.04999924"
André du Crocquet,119648,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687",Valenciennes (FR),Valenciennes,"{""type"": ""Point"", ""coordinates"": [3.5333299599999997, 50.34999847000001]}","3.5333299599999997, 50.34999847000001"
Gregory Martin,119643,Hastings (GB),Hastings,"{""type"": ""Point"", ""coordinates"": [0.57292002, 50.85519028]}","0.57292002, 50.85519028",Reims (FR),Reims,"{""type"": ""Point"", ""coordinates"": [4.03332996, 49.25]}","4.03332996, 49.25"
Jean de Mouronval,119641,,,,,,,,
Henri Pennetier,119640,,,,,,,,
Matthieu de Launoy,119639,La Ferté-Alais (FR),La Ferté-Alais,"{""type"": ""Point"", ""coordinates"": [2.34802008, 48.48305893]}","2.34802008, 48.48305893",,,,
Richard Bristow,119636,Worcester (GB),Worcester,"{""type"": ""Point"", ""coordinates"": [-2.22001004, 52.18935013000001]}","-2.22001004, 52.18935013000001",,,,
Jan Van Passchen,119635,,,,,,,,
Thomas Stapleton,119634,Henfield (GB),Henfield,"{""type"": ""Point"", ""coordinates"": [-0.27327999, 50.93204117]}","-0.27327999, 50.93204117",Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995"
John Fowler,119632,Bristol (GB),Bristol,"{""type"": ""Point"", ""coordinates"": [-2.58333333, 51.45000000000001]}","-2.58333333, 51.45000000000001",Namur (BE),Namur,"{""type"": ""Point"", ""coordinates"": [4.86745977, 50.466899870000006]}","4.86745977, 50.466899870000006"
William Carter,119631,,,,,,,,
Jean d'Albin de Valsergues,119630,Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949",Toulouse (FR),Toulouse,"{""type"": ""Point"", ""coordinates"": [1.44367003, 43.60425949]}","1.44367003, 43.60425949"
Augustine of Hippo,119629,,,,,,,,
Nicolas de Leuze,119625,Frasnes-lez-Buissenal (BE),Frasnes-lez-Buissenal,"{""type"": ""Point"", ""coordinates"": [3.62047005, 50.66783141999999]}","3.62047005, 50.66783141999999",,,,
Alexandre Le Blancq,119610,,,,,,,,
Louis Dutailly,119609,,,,,,,,
Christophe Plantin,119608,,,,,,,,
Etienne Lagache,119607,,,,,,,,
Mattheus Galenus,119605,Westkapelle (BE),Westkapelle,"{""type"": ""Point"", ""coordinates"": [3.3017, 51.31511]}","3.3017, 51.31511",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Epo Boetius,119604,Leeuwarden (NL),Leeuwarden,"{""type"": ""Point"", ""coordinates"": [5.80858994, 53.20138931]}","5.80858994, 53.20138931",Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687"
Julian of Toledo,119603,,,,,,,,
Nicolaus Lapidanus,119602,,,,,,,,
François de Belleforest,119596,Tarbes (FR),Tarbes,"{""type"": ""Point"", ""coordinates"": [0.08333, 43.23332977]}","0.08333, 43.23332977",Paris (FR),Paris,"{""type"": ""Point"", ""coordinates"": [2.34879994, 48.85340881]}","2.34879994, 48.85340881"
Luis de Granada,119595,Granada (ES),Granada,"{""type"": ""Point"", ""coordinates"": [-3.6066699, 37.18817139]}","-3.6066699, 37.18817139",Lisbon (PT),Lisbon,"{""type"": ""Point"", ""coordinates"": [-9.13333035, 38.71667099]}","-9.13333035, 38.71667099"
François Gilbert de La Brosse,119594,,,,,,,,
Bonaventura,119593,,,,,,,,
Emerio de Bonis,119591,Guastalla (IT),Guastalla,"{""type"": ""Point"", ""coordinates"": [10.66088963, 44.91316986]}","10.66088963, 44.91316986",Napoli (IT),Napoli,"{""type"": ""Point"", ""coordinates"": [14.25, 40.83332825]}","14.25, 40.83332825"
Louis de Berlaymont,119587,Brussel (),Brussel,,,Mons (BE),Mons,"{""type"": ""Point"", ""coordinates"": [3.95229006, 50.45412827]}","3.95229006, 50.45412827"
Ferry de Locre,119579,Saint-Pol-sur-Ternoise (FR),Saint-Pol-sur-Ternoise,"{""type"": ""Point"", ""coordinates"": [2.33406997, 50.38113022000001]}","2.33406997, 50.38113022000001",Arras (FR),Arras,"{""type"": ""Point"", ""coordinates"": [2.78186011, 50.29301071]}","2.78186011, 50.29301071"
Charles Blendecq,119578,,,,,,,,
Raymundus de Capua,119570,Capua (IT),Capua,"{""type"": ""Point"", ""coordinates"": [14.220129969999999, 41.09970856]}","14.220129969999999, 41.09970856",Nuremberg (DE),Nuremberg,"{""type"": ""Point"", ""coordinates"": [11.06832981, 49.44778061000001]}","11.06832981, 49.44778061000001"
Claude de Bassecourt,119565,,,,,,,,
Philippe Bosquier,119556,Mons (BE),Mons,"{""type"": ""Point"", ""coordinates"": [3.95229006, 50.45412827]}","3.95229006, 50.45412827",Avesnes-sur-Helpe (FR),Avesnes-sur-Helpe,"{""type"": ""Point"", ""coordinates"": [3.9333300600000003, 50.11666869999999]}","3.9333300600000003, 50.11666869999999"
Johann Tauler,119548,Strasbourg (FR),Strasbourg,"{""type"": ""Point"", ""coordinates"": [7.74295998, 48.5834198]}","7.74295998, 48.5834198",Strasbourg (FR),Strasbourg,"{""type"": ""Point"", ""coordinates"": [7.74295998, 48.5834198]}","7.74295998, 48.5834198"
Frans Vervoort,119547,Mechelen (BE),Mechelen,"{""type"": ""Point"", ""coordinates"": [4.47762012, 51.02574158]}","4.47762012, 51.02574158",,,,
Hendrik Herp,119546,Erp (NL),Erp,"{""type"": ""Point"", ""coordinates"": [5.60693979, 51.59999847]}","5.60693979, 51.59999847",Mechelen (BE),Mechelen,"{""type"": ""Point"", ""coordinates"": [4.47762012, 51.02574158]}","4.47762012, 51.02574158"
Bernardino da Balbano,119521,Balvano (IT),Balvano,"{""type"": ""Point"", ""coordinates"": [15.51416016, 40.65031815]}","15.51416016, 40.65031815",Potenza (IT),Potenza,"{""type"": ""Point"", ""coordinates"": [15.80856991, 40.64432144]}","15.80856991, 40.64432144"
