Name,ID,[Birth Place] Location Reference,Birth Place,[Birth Place] Geometry,Birth Geometry,[Death Place] Location Reference,Death Place,[Death Place] Geometry,Death Geometry
Alexander of Rhodes,122640,Avignon (FR),Avignon,"{""type"": ""Point"", ""coordinates"": [4.80891991, 43.94834137]}","4.80891991, 43.94834137",,,,
Jeanne de Blois,122637,,,,,,,,
Constance Helman,122632,,,,,,,,
Antoine Jurge,122624,,,,,,,,
Gonzalez de Sojo,122622,,,,,,,,
Niccolò Sfondrati,122619,,,,,,,,
Bernard Campmans,122613,,,,,,,,
Antonius Sanderus,122611,Antwerpen (BE),Antwerpen,"{""type"": ""Point"", ""coordinates"": [4.40346003, 51.219890590000006]}","4.40346003, 51.219890590000006",Aalst (BE),Aalst,"{""type"": ""Point"", ""coordinates"": [4.03550005, 50.93603897]}","4.03550005, 50.93603897"
Adrien Lebrun,122610,,,,,,,,
Hugues Beeckman,122607,,,,,,,,
Cornelis Galle,122603,,,,,,,,
Anne de Lattre,122599,,,,,,,,
François de Lattre,122597,,,,,,,,
Gerard Liègeois,122595,,,,,,,,
Jean Huchon,122589,,,,,,,,
Nicolas Lambert,122588,,,,,,,,
Jacques Hugues,122583,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",,,,
Antoine de Winghe,122580,Leuven (BE),Leuven,"{""type"": ""Point"", ""coordinates"": [4.70093012, 50.879589079999995]}","4.70093012, 50.879589079999995",,,,
Alessio da Salò,122579,,,,,,,,
Charles Musart,122575,Aire-sur-la-Lys (FR),Aire-sur-la-Lys,"{""type"": ""Point"", ""coordinates"": [2.39876008, 50.63871002]}","2.39876008, 50.63871002",Vienna (AT),Vienna,"{""type"": ""Point"", ""coordinates"": [16.37207985, 48.20848846]}","16.37207985, 48.20848846"
Petrus Mourcourt,122543,,,,,,,,
Etienne du Tronchet,122518,,,,,,,,
de Riquebourg-Trigault Florice,122515,,,,,,,,
Nicolas Trigault,122514,Douai (FR),Douai,"{""type"": ""Point"", ""coordinates"": [3.0666699399999997, 50.3666687]}","3.0666699399999997, 50.3666687",Hangzhou (CN),Hangzhou,"{""type"": ""Point"", ""coordinates"": [120.16142273, 30.29364967]}","120.16142273, 30.29364967"
Jean du Clicqet,122512,,,,,,,,
Ferdinand de Maubus,122509,Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689",Lille (FR),Lille,"{""type"": ""Point"", ""coordinates"": [3.05857992, 50.6329689]}","3.05857992, 50.6329689"
Jean de Villers,122503,Mézières (CH),Mézières,"{""type"": ""Point"", ""coordinates"": [6.92630005, 46.67958069]}","6.92630005, 46.67958069",Tournai (BE),Tournai,"{""type"": ""Point"", ""coordinates"": [3.3893199, 50.60715103]}","3.3893199, 50.60715103"
Marie de Renty,122491,,,,,,,,
Guido Bentivoglio,122487,Ferrara (IT),Ferrara,"{""type"": ""Point"", ""coordinates"": [11.62071037, 44.82677841]}","11.62071037, 44.82677841",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
Jean Frelin,122483,,,,,,,,
Michel Gommer,122481,,,,,,,,
Robert Segard,122480,,,,,,,,
Martín de Azpilcueta,122479,,,,,,,,
Pedro Alagona,122477,Siracusa (IT),Siracusa,"{""type"": ""Point"", ""coordinates"": [15.27299976, 37.08515167]}","15.27299976, 37.08515167",Roma (IT),Roma,"{""type"": ""Point"", ""coordinates"": [12.48390007, 41.89474106]}","12.48390007, 41.89474106"
